alert,etsy_source_row,etsy_listing_key,etsy_title,etsy_sku,printify_product_id,printify_title,printify_variant_id,printify_sku
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHY724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,26.0,44c4e98b5d4d9c93,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",AHOLLY72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF908Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC908Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC724Nap,,,,
